repo_name,build_tool,path,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-auth
",215,1418,43,101,52,331,52,136,18,98
knowm/xchange,maven,"knowm_xchange/xchange-coinmate
",3112,500,176,6,845,172,274,64,182,63
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.pushsafer
",1910,269,195,15,409,59,187,21,85,17
spring-cloud/spring-cloud-consul,maven,"ing-cloud_spring-cloud-consul/spring-cloud-consul-integration-tests/spring-cloud-consul-configdata-tests
",89,0,14,0,3,0,15,0,8,0
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.sensibo
",1902,1488,142,60,417,365,202,108,115,88
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/optaplanner-quickstart
",1840,0,24,0,290,0,73,0,61,0
undera/jmeter-plugins,maven,"undera_jmeter-plugins/tools/cmd
",852,689,130,82,153,205,97,52,5,38
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.luftdateninfo
",590,907,54,81,179,209,101,79,63,48
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-assets
",40,137,4,4,6,25,8,9,4,9
pmd/pmd,maven,"md_pmd/pmd-apex
",2320,15597,318,1339,568,3605,595,1550,320,993
primefaces/primefaces,maven,"imefaces_primefaces/primefaces-cli
",303,702,18,2,60,122,18,5,9,4
knowm/xchange,maven,"knowm_xchange/xchange-cexio
",5577,124,305,0,1286,42,522,19,369,19
nlpchina/elasticsearch-sql,maven,"hina_elasticsearch-sql
",45272,0,4649,0,9683,0,3795,0,1366,0
apache/syncope,maven,"apache_syncope/core/idm/logic
",2715,501,206,12,568,120,194,19,84,18
openhab/openhab-core,maven,"hab_openhab-core/bundles/org.openhab.core.voice
",6758,71,584,4,1205,28,542,13,245,13
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.deconz
",5221,1943,577,89,1073,421,494,108,153,84
knowm/xchange,maven,"knowm_xchange/xchange-bibox
",2260,728,69,3,614,247,267,144,225,144
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/kafka-panache-quickstart
",44,0,0,0,12,0,8,0,8,0
cdk/cdk,maven,"k_cdk/descriptor/cip
",63,1227,11,123,19,284,25,162,14,106
pmd/pmd,maven,"md_pmd/pmd-dist
",0,0,0,0,0,0,0,0,0,0
