repo_name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage
awslabs/aws-athena-query-federation,1.0,1,1.0,1.0,1,46.0,7.0,230.0,51507.0,55.75
awslabs/aws-lambda-powertools-java,,1,,,0,32.0,3.0,24.0,111.0,
awslabs/smithy,1.0,1,1.0,1.0,1,58.0,1.0,102.0,2910.0,84.63
axelor/axelor-open-suite,,0,,,0,0.0,0.0,162.0,62168.0,
axonframework/axonframework,1.0,0,0.0,0.0,1,21.0,27.0,26.0,150.0,66.04
azagniotov/stubby4j,1.0,0,,1.0,1,0.0,8.0,99.0,2365.0,
azkaban/azkaban,0.0,0,0.0,0.0,1,182.0,46.0,73.0,2602.0,
azure/azure-iot-sdk-java,,1,,,0,187.0,46.0,255.0,27034.0,
azure/azure-sdk-for-java,0.0,1,0.0,0.0,1,81.0,29.0,455.0,822199.0,
azuread/azure-activedirectory-library-for-android,,1,1.0,1.0,1,83.0,7.0,160.0,6065.0,
azuread/microsoft-authentication-library-for-android,,1,0.0,0.0,1,92.0,8.0,155.0,8488.0,
azuread/microsoft-authentication-library-for-java,1.0,0,1.0,1.0,1,60.0,7.0,437.0,17546.0,
b2ihealthcare/snow-owl,0.0,0,1.0,1.0,1,51.0,21.0,573.0,203433.0,
ballerina-platform/ballerina-lang,1.0,1,1.0,1.0,1,109.0,24.0,526.0,309156.0,
baomidou/mybatis-plus,1.0,0,,,0,0.0,1.0,51.0,38085.0,33.04
bardsoftware/ganttproject,0.0,0,1.0,0.0,1,0.0,1.0,53.0,517.0,
bareinhard/hacktoberfest-data-structure-and-algorithms,,0,,,0,1.0,10.0,32.0,1054.0,
bareinhard/hacktoberfest-mathematics,,0,,,0,0.0,0.0,26.0,744.0,
baremaps/baremaps,0.0,0,1.0,0.0,1,26.0,42.0,319.0,18665.0,
basexdb/basex,1.0,1,,,0,7.0,11.0,307.0,10331.0,
batfish/batfish,,1,1.0,0.0,1,60.0,44.0,180.0,11871.0,
bazelbuild/bazel,,0,0.0,0.0,1,14.0,48.0,338.0,19641.0,
bazelbuild/bazel-buildfarm,,0,1.0,1.0,1,35.0,5.0,193.0,66217.0,
bazelbuild/intellij,,0,1.0,1.0,1,1.0,0.0,33.0,495.0,
bcgit/bc-java,0.0,1,,,0,,,,,
beemdevelopment/aegis,,0,1.0,1.0,1,17.0,20.0,190.0,5813.0,
belaban/jgroups,1.0,0,,,0,2.0,7.0,22.0,114.0,
bentoboxworld/bentobox,0.0,0,1.0,0.0,1,7.0,16.0,142.0,3922.0,
betonquest/betonquest,1.0,1,0.0,1.0,1,29.0,4.0,114.0,4254.0,2.17
biglysoftware/biglybt,0.0,0,,,0,0.0,4.0,283.0,1368.0,
bioinformatics-ua/dicoogle,1.0,0,1.0,1.0,1,22.0,5.0,53.0,10282.0,
biojava/biojava,1.0,1,,,0,161.0,56.0,118.0,474234.0,
biscuitdevelopment/skyblockaddons,0.0,0,1.0,1.0,1,2.0,5.0,576.0,31533.0,
bisq-network/bisq,0.0,0,1.0,1.0,1,29.0,24.0,184.0,5218.0,
bitcoinj/bitcoinj,0.0,0,,,0,10.0,34.0,138.0,5037.0,
blackuy/react-native-twilio-video-webrtc,,0,1.0,1.0,1,17.0,14.0,57.0,3998.0,
blazebit/blaze-persistence,1.0,1,,,0,11.0,6.0,305.0,11754.0,
blusunrize/immersiveengineering,0.0,0,,1.0,1,33.0,26.0,1270.0,95876.0,
bndtools/bnd,1.0,1,1.0,1.0,1,6.0,5.0,488.0,11478.0,
bonigarcia/webdrivermanager,1.0,0,1.0,1.0,1,0.0,3.0,21.0,1086.0,54.08
bonitasoft/bonita-engine,1.0,0,0.0,0.0,1,0.0,12.0,288.0,7139.0,22.23
box/box-java-sdk,0.0,1,1.0,1.0,1,64.0,27.0,119.0,20054.0,
box/mojito,1.0,0,1.0,1.0,1,14.0,2.0,335.0,14927.0,
brettwooldridge/hikaricp,1.0,0,1.0,1.0,1,12.0,83.0,41.0,1762.0,
brianfrankcooper/ycsb,0.0,1,1.0,1.0,1,93.0,56.0,146.0,14060.0,
broadinstitute/gatk,0.0,0,1.0,1.0,1,35.0,10.0,44.0,3626.0,
broadinstitute/picard,1.0,0,1.0,1.0,1,67.0,27.0,77.0,28990.0,
broadleafcommerce/broadleafcommerce,0.0,0,,1.0,1,13.0,1.0,59.0,1798.0,
buchen/portfolio,,1,0.0,1.0,1,0.0,21.0,165.0,13876.0,
buildcraft/buildcraft,0.0,1,,,0,53.0,63.0,48.0,1508.0,
bumptech/glide,,1,1.0,1.0,1,4.0,19.0,176.0,3789.0,
bytedeco/javacpp-presets,0.0,0,,,0,63.0,89.0,1391.0,611327.0,
cabaletta/baritone,0.0,0,1.0,1.0,1,61.0,59.0,235.0,6179.0,
camel-tooling/camel-idea-plugin,0.0,1,,,0,3.0,4.0,21.0,68.0,
camunda-cloud/zeebe,1.0,1,1.0,0.0,1,36.0,62.0,123.0,4272.0,48.64
camunda-consulting/code,,0,,,0,3.0,11.0,147.0,208076.0,
camunda/camunda-bpm-platform,0.0,0,0.0,0.0,1,61.0,7.0,182.0,5796.0,
castorini/anserini,1.0,0,1.0,1.0,1,50.0,26.0,45.0,40385.0,52.58
catfriend1/syncthing-android,,0,,,0,8.0,7.0,82.0,816.0,
catrobat/catroid,,1,,0.0,1,33.0,13.0,303.0,30531.0,
cbeust/testng,1.0,0,1.0,0.0,1,60.0,74.0,1733.0,75791.0,
cbeust/testng-eclipse,,0,0.0,0.0,1,6.0,10.0,92.0,1110.0,
cbioportal/cbioportal,0.0,0,1.0,0.0,1,39.0,30.0,236.0,23159.0,
cc-tweaked/cc-tweaked,0.0,1,1.0,1.0,1,25.0,61.0,67.0,8394.0,
ccrama/slide,,0,,,0,5.0,17.0,715.0,31872.0,
cdapio/cdap,0.0,1,,,0,36.0,47.0,42.0,878.0,
cdk/cdk,1.0,1,,,0,6.0,27.0,94.0,9602.0,59.83
cellularprivacy/android-imsi-catcher-detector,,1,,,0,5.0,79.0,651.0,52108.0,
cgeo/cgeo,,1,1.0,1.0,1,40.0,52.0,135.0,2299.0,
checkstyle/checkstyle,1.0,1,0.0,0.0,1,8.0,22.0,234.0,9438.0,
chocoteam/choco-solver,1.0,1,,,0,35.0,22.0,574.0,1725371.0,
chunky-dev/chunky,0.0,0,1.0,1.0,1,14.0,10.0,34.0,672.0,
cinchapi/concourse,0.0,0,1.0,1.0,1,1.0,1.0,363.0,189982.0,
classgraph/classgraph,1.0,0,1.0,1.0,1,0.0,11.0,21.0,72.0,52.5
clickhouse/clickhouse-jdbc,1.0,0,0.0,0.0,1,2.0,53.0,108.0,11288.0,0.13
cloudbees-oss/zendesk-java-client,1.0,0,0.0,0.0,1,21.0,24.0,20.0,141.0,8.76
cloudburstmc/nukkit,1.0,0,,1.0,1,31.0,10.0,88.0,18631.0,0.48
cloudevents/sdk-java,1.0,0,1.0,1.0,1,6.0,11.0,246.0,1631.0,42.86
cloudfoundry/cf-java-client,0.0,0,,,0,3.0,62.0,224.0,4506.0,
cloudfoundry/uaa,1.0,0,,,0,4.0,27.0,58.0,67274.0,
cloudnetservice/cloudnet-v3,1.0,1,0.0,0.0,1,30.0,31.0,2692.0,1341748.0,
cloudslang/cloud-slang,0.0,1,,,0,25.0,2.0,108.0,11967.0,
cloudyrock/mongock,1.0,0,,,0,14.0,0.0,133.0,3688.0,
clulab/processors,,0,1.0,1.0,1,12.0,69.0,97.0,25568.0,
cmu-phil/tetrad,1.0,0,,,0,14.0,51.0,613.0,78241.0,61.11
codecentric/spring-boot-admin,1.0,1,1.0,1.0,1,2.0,17.0,101.0,386707.0,41.41
codelibs/fess,0.0,0,1.0,1.0,1,0.0,3.0,210.0,6028.0,
codenameone/codenameone,,0,0.0,0.0,1,0.0,0.0,40.0,246.0,
codice/ddf,1.0,0,0.0,0.0,1,63.0,108.0,66.0,2743.0,45.2
codinguser/gnucash-android,,0,,,0,15.0,45.0,86.0,23685.0,
commons-app/apps-android-commons,,0,1.0,1.0,1,15.0,37.0,174.0,31507.0,
confluentinc/kafka-connect-elasticsearch,0.0,1,0.0,0.0,1,49.0,9.0,76.0,3244.0,
confluentinc/kafka-connect-hdfs,0.0,1,1.0,1.0,1,135.0,20.0,93.0,4262.0,
confluentinc/kafka-connect-jdbc,0.0,1,1.0,1.0,1,40.0,33.0,48.0,2577.0,
confluentinc/kafka-connect-storage-cloud,0.0,1,,0.0,1,37.0,16.0,40.0,1195.0,
confluentinc/kafka-rest,0.0,1,1.0,1.0,1,40.0,21.0,51.0,1597.0,
confluentinc/kafka-streams-examples,1.0,1,0.0,0.0,1,53.0,36.0,107.0,1903.0,40.82
confluentinc/kafka-tutorials,1.0,0,0.0,0.0,1,54.0,23.0,506.0,10911.0,
confluentinc/ksql,1.0,1,1.0,1.0,1,60.0,15.0,254.0,21510.0,
confluentinc/schema-registry,0.0,1,1.0,1.0,1,27.0,14.0,87.0,4731.0,
connectbot/connectbot,,1,1.0,1.0,1,15.0,14.0,30.0,347.0,
consensys/teku,1.0,0,1.0,1.0,1,27.0,1.0,197.0,10567.0,55.96
consensys/tessera,1.0,1,1.0,0.0,1,28.0,2.0,1268.0,300229.0,95.44
constellation-app/constellation,,0,,,0,71.0,58.0,200.0,70531.0,
containx/openstack4j,1.0,0,,,0,15.0,46.0,101.0,42478.0,1.49
conveyal/r5,0.0,0,1.0,0.0,1,83.0,28.0,589.0,93686.0,
corfudb/corfudb,0.0,1,1.0,1.0,1,134.0,3.0,83.0,12510.0,
corona-warn-app/cwa-server,1.0,1,,1.0,1,83.0,25.0,168.0,151084.0,62.5
cqframework/clinical_quality_language,,0,1.0,1.0,1,92.0,12.0,285.0,186807.0,
crafttweaker/crafttweaker,0.0,0,,1.0,1,5.0,15.0,123.0,29232.0,
crate/crate,1.0,1,,,0,82.0,50.0,125.0,8105.0,
creators-of-create/create,0.0,0,,,0,4.0,28.0,40.0,83212.0,
crnk-project/crnk-framework,1.0,0,,,0,6.0,20.0,102.0,5267.0,
crossbario/autobahn-java,,0,,,0,0.0,20.0,88.0,4088.0,
crowdin/crowdin-cli,1.0,1,1.0,1.0,1,13.0,34.0,127.0,2209.0,
ctripcorp/apollo,1.0,0,1.0,0.0,1,83.0,54.0,132.0,30960.0,61.16
ctripcorp/x-pipe,0.0,0,1.0,1.0,1,19.0,13.0,401.0,234031.0,
cucumber/cucumber-jvm,0.0,1,1.0,1.0,1,10.0,36.0,304.0,11386.0,
cutr-at-usf/opentripplanner-for-android,,0,,,0,0.0,58.0,38.0,1490.0,
cyc2018/cs-notes,,0,,,0,5.0,12.0,25.0,50776.0,
cyclestreets/android,,0,0.0,0.0,1,64.0,55.0,231.0,5607.0,
cymchad/baserecyclerviewadapterhelper,,0,0.0,0.0,1,5.0,5.0,324.0,56072.0,
