repo_name,last_commit_sha,pull_number,count_review_requests,count_all_reviews,count_all_review_comments,count_all_comments,count_changed_files,count_total_changed_lines
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2656,1,1,0,1,6,170
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2654,0,2,1,4,1,8048
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2651,0,9,8,7,3,29
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2643,0,2,0,1,1,6
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2640,0,1,0,3,1,26
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2638,0,1,0,1,1,17
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2636,0,1,0,1,1,38
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2635,0,1,0,2,1,14
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2634,0,1,0,0,1,4
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2626,1,4,3,1,4,498
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2625,0,1,0,0,3,24
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2624,1,0,0,2,1,64
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2622,1,0,0,3,1,9
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2621,0,1,0,0,1,2
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2619,0,2,0,1,2,175
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2615,0,0,0,1,3,289
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2611,1,0,0,2,5,115
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2597,0,1,0,1,10,143
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2593,0,1,0,3,2,5
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1711,0,2,0,3,26,1043
adobe/aem-core-wcm-components,08db14e7da66f2ed8f6de8226b38a7bc9af86c41,1705,0,0,0,1,1,25
